RXNORM code	 RXNORM uri	 RXNORM label	 SNOMED code	 SNOMED uri	 SNOMED label
861654	http://purl.bioontology.org/ontology/RXNORM/861654	pitavastatin calcium 4 MG Oral Tablet [Livalo]	1303129005	http://snomed.info/id/1303129005	Pitavastatin (as pitavastatin calcium) 4 mg oral tablet
860516	http://purl.bioontology.org/ontology/RXNORM/860516	24 HR carvedilol phosphate 20 MG Extended Release Oral Capsule	1208575005	http://purl.bioontology.org/ontology/SNOMEDCT/1208575005	Carvedilol phosphate 20 mg prolonged-release oral capsule
898359	http://purl.bioontology.org/ontology/RXNORM/898359	amlodipine 5 MG / benazepril hydrochloride 40 MG Oral Capsule	1149511004	http://purl.bioontology.org/ontology/SNOMEDCT/1149511004	Amlodipine (as amlodipine besylate) 5 mg and benazepril hydrochloride 40 mg oral capsule
845488	http://purl.bioontology.org/ontology/RXNORM/845488	ramipril 1.25 MG Oral Capsule	318900007	http://purl.bioontology.org/ontology/SNOMEDCT/318900007	Ramipril 1.25 mg oral capsule
898350	http://purl.bioontology.org/ontology/RXNORM/898350	amlodipine 2.5 MG / benazepril hydrochloride 10 MG Oral Capsule	1149525003	http://purl.bioontology.org/ontology/SNOMEDCT/1149525003	Amlodipine (as amlodipine besylate) 2.5 mg and benazepril hydrochloride 10 mg oral capsule
199885	http://purl.bioontology.org/ontology/RXNORM/199885	levofloxacin 500 MG Oral Tablet	324634001	http://purl.bioontology.org/ontology/SNOMEDCT/324634001	Levofloxacin 500 mg oral tablet
352001	http://purl.bioontology.org/ontology/RXNORM/352001	valsartan 320 MG Oral Tablet [Diovan]	376487009	http://snomed.info/id/376487009	Valsartan 320 mg oral tablet
859421	http://purl.bioontology.org/ontology/RXNORM/859421	rosuvastatin calcium 40 MG Oral Tablet [Crestor]	408024009	http://snomed.info/id/408024009	Rosuvastatin (as rosuvastatin calcium) 40 mg oral tablet
1940648	http://purl.bioontology.org/ontology/RXNORM/1940648	neratinib 40 MG Oral Tablet	895585007	http://purl.bioontology.org/ontology/SNOMEDCT/895585007	Neratinib (as neratinib maleate) 40 mg oral tablet
1190766	http://purl.bioontology.org/ontology/RXNORM/1190766	atropine sulfate 0.31 MG/ML Ophthalmic Solution	785231005	http://purl.bioontology.org/ontology/SNOMEDCT/785231005	Atropine sulfate 310 microgram/mL eye solution
308429	http://purl.bioontology.org/ontology/RXNORM/308429	atovaquone 150 MG/ML Oral Suspension	376943008	http://purl.bioontology.org/ontology/SNOMEDCT/376943008	Atovaquone 150 mg/mL oral suspension
636042	http://purl.bioontology.org/ontology/RXNORM/636042	hydrochlorothiazide 12.5 MG / valsartan 320 MG Oral Tablet	421207006	http://purl.bioontology.org/ontology/SNOMEDCT/421207006	Hydrochlorothiazide 12.5 mg and valsartan 320 mg oral tablet
979487	http://purl.bioontology.org/ontology/RXNORM/979487	losartan potassium 25 MG Oral Tablet [Cozaar]	318955005	http://snomed.info/id/318955005	Losartan potassium 25 mg oral tablet
106892	http://purl.bioontology.org/ontology/RXNORM/106892	insulin isophane  human 70 UNT/ML / insulin  regular  human 30 UNT/ML Injectable Suspension [Humulin]	784510001	http://snomed.info/id/784510001	Human isophane insulin 70 unit/mL and recombinant human regular insulin 30 unit/mL solution for injection
1664463	http://purl.bioontology.org/ontology/RXNORM/1664463	24 HR tacrolimus 1 MG Extended Release Oral Tablet	1163327007	http://snomed.info/id/1163327007	Tacrolimus 1 mg prolonged-release oral tablet
1049625	http://purl.bioontology.org/ontology/RXNORM/1049625	Acetaminophen 325 MG / Oxycodone Hydrochloride 10 MG Oral Tablet [Percocet]	413391006	http://snomed.info/id/413391006	Acetaminophen 325 mg and oxycodone hydrochloride 10 mg oral tablet
1860491	http://purl.bioontology.org/ontology/RXNORM/1860491	12 HR Hydrocodone Bitartrate 10 MG Extended Release Oral Capsule	429392006	http://snomed.info/id/429392006	Hydrocodone bitartrate 10 mg and ibuprofen 200 mg oral tablet
895996	http://purl.bioontology.org/ontology/RXNORM/895996	120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent]	766423004	http://snomed.info/id/766423004	Fluticasone propionate 50 microgram/actuation nasal spray
2001499	http://purl.bioontology.org/ontology/RXNORM/2001499	Vitamin B12 5 MG/ML Injectable Solution	781629003	http://snomed.info/id/781629003	Vitamin B12 and/or vitamin B12 derivative-containing product
